overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
157,Isaac Guerendo (14),Isaac Guerendo,14,RB59,RB,SF,115 (10.7),10.7,159 (14.3),14.3,215 (18.11),18.11
158,Brandon Aubrey (10),Brandon Aubrey,10,PK1,PK,DAL,138 (12.6),12.6,160 (14.4),14.4,177 (15.9),15.9
159,Hollywood Brown (10),Hollywood Brown,10,WR63,WR,KC,142 (12.10),12.10,161 (14.5),14.5,177 (15.9),15.9
160,Trevor Lawrence (8),Trevor Lawrence,8,QB15,QB,JAC,145 (13.1),13.1,161 (14.5),14.5,183 (16.3),16.3
161,Rico Dowdle (14),Rico Dowdle,14,RB60,RB,CAR,151 (13.7),13.7,163 (14.7),14.7,179 (15.11),15.11
162,Wan’Dale Robinson (14),Wan’Dale Robinson,14,WR64,WR,NYG,140 (12.8),12.8,165 (14.9),14.9,183 (16.3),16.3
163,J.J. McCarthy (6),J.J. McCarthy,6,QB16,QB,MIN,145 (13.1),13.1,165 (14.9),14.9,186 (16.6),16.6
164,Jonnu Smith (5),Jonnu Smith,5,TE22,TE,PIT,142 (12.10),12.10,165 (14.9),14.9,198 (17.6),17.6
165,Justin Herbert (12),Justin Herbert,12,QB17,QB,LAC,152 (13.8),13.8,165 (14.9),14.9,188 (16.8),16.8
166,Mason Taylor (9),Mason Taylor,9,TE23,TE,NYJ,143 (12.11),12.11,166 (14.10),14.10,195 (17.3),17.3
167,Chris Rodriguez (12),Chris Rodriguez,12,RB61,RB,WAS,115 (10.7),10.7,167 (14.11),14.11,187 (16.7),16.7
168,Jared Goff (8),Jared Goff,8,QB18,QB,DET,144 (12.12),12.12,167 (14.11),14.11,189 (16.9),16.9
169,Tahj Brooks (10),Tahj Brooks,10,RB62,RB,CIN,157 (14.1),14.1,171 (15.3),15.3,197 (17.5),17.5
170,Jaylen Wright (12),Jaylen Wright,12,RB63,RB,MIA,140 (12.8),12.8,171 (15.3),15.3,202 (17.10),17.10
171,Cade Otton (9),Cade Otton,9,TE24,TE,TB,151 (13.7),13.7,172 (15.4),15.4,198 (17.6),17.6
172,Harold Fannin (9),Harold Fannin,9,TE25,TE,CLE,121 (11.1),11.1,174 (15.6),15.6,213 (18.9),18.9
173,DJ Giddens (11),DJ Giddens,11,RB64,RB,IND,157 (14.1),14.1,174 (15.6),15.6,196 (17.4),17.4
174,C.J. Stroud (6),C.J. Stroud,6,QB19,QB,HOU,145 (13.1),13.1,174 (15.6),15.6,192 (16.12),16.12
175,Roschon Johnson (5),Roschon Johnson,5,RB65,RB,CHI,159 (14.3),14.3,175 (15.7),15.7,200 (17.8),17.8
176,Brashard Smith (10),Brashard Smith,10,RB66,RB,KC,134 (12.2),12.2,177 (15.9),15.9,209 (18.5),18.5
177,Kyle Williams (14),Kyle Williams,14,WR65,WR,NE,129 (11.9),11.9,177 (15.9),15.9,209 (18.5),18.5
178,PIT Team Defense (5),PIT Team Defense,5,DF2,DF,PIT,162 (14.6),14.6,184 (16.4),16.4,202 (17.10),17.10
179,Mike Gesicki (10),Mike Gesicki,10,TE26,TE,CIN,139 (12.7),12.7,184 (16.4),16.4,208 (18.4),18.4
180,Blake Corum (8),Blake Corum,8,RB67,RB,LAR,168 (14.12),14.12,185 (16.5),16.5,212 (18.8),18.8
